 Elapse(min.),Actual feeding rate [g/min],Total N2 flow rate [g/min],O2 flow rate [g/min],Steam flow rate [g/min],CO2 flow rate [g/min],FNC-1,FNC-2,FNC-3,TI-2,TI-3,TI-4,TI-5,PI-2,PI-3,PI-4,PI-5,CO,CO2,CH4,H2
208.27,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.2,799.6,800.1,766,787,800,784,303.12,35.62,23.12,26.25,3.57,6.19,6.02,6.0
208.28,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.2,799.6,800.1,766,787,800,784,301.25,35.62,25.62,28.75,3.56,6.2,5.91,5.96
208.3,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.2,799.6,800.0,766,787,801,784,300.0,38.75,27.5,31.88,3.53,6.21,5.78,5.91
208.32,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.2,799.6,800.0,766,787,801,784,300.0,38.75,27.5,33.12,3.53,6.21,5.78,5.85
208.33,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.2,799.6,800.0,766,787,801,784,298.75,40.0,28.75,33.12,3.51,6.24,5.66,5.85
208.35,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.2,799.6,800.0,766,787,801,784,297.5,41.25,30.62,35.62,3.51,6.25,5.55,5.8
208.37,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.2,799.7,800.0,766,787,801,784,297.5,46.25,48.12,52.5,3.49,6.25,5.46,5.75
208.38,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.2,799.7,800.0,766,786,801,784,298.75,55.0,56.88,60.62,3.49,6.26,5.4,5.72
208.4,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.2,799.7,800.0,766,786,801,784,300.62,63.75,72.5,75.62,3.49,6.26,5.36,5.71
208.42,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.2,799.6,800.0,766,786,801,784,300.62,63.75,72.5,88.75,3.49,6.26,5.36,5.71
208.43,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.2,799.6,800.0,766,786,801,784,303.12,73.75,83.75,88.75,3.49,6.28,5.36,5.71
208.45,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.2,799.6,800.0,766,786,801,784,307.5,83.12,88.75,93.75,3.49,6.28,5.39,5.72
208.47,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.2,799.6,800.0,766,787,801,784,310.62,91.88,95.62,100.0,3.51,6.3,5.45,5.78
