number,value,datetime_start,datetime_complete,duration,params_batch_size,params_hidden_dim,params_lr,params_window_size,user_attrs_group,user_attrs_model,user_attrs_timestamp,state
42,0.019188423,24:42.9,36:45.7,0 days 00:12:02.828130,32,128,0.001,30,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_032442,COMPLETE
43,0.013927617,36:45.7,45:51.8,0 days 00:09:06.083885,32,128,0.001,30,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_033645,COMPLETE
44,0.009795883,45:51.8,57:36.1,0 days 00:11:44.291823,32,128,0.001,30,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_034551,COMPLETE
45,0.017550868,57:36.1,07:24.9,0 days 00:09:48.821853,32,128,0.001,30,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_035736,COMPLETE
46,0.085458754,07:24.9,25:08.8,0 days 00:17:43.938814,32,128,0.0001,30,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_040724,COMPLETE
47,0.476837646,25:08.8,30:47.6,0 days 00:05:38.735036,32,128,0.01,30,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_042508,COMPLETE
48,0.018934692,30:47.6,41:56.0,0 days 00:11:08.409337,32,128,0.001,30,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_043047,COMPLETE
49,0.023230995,41:56.0,53:06.4,0 days 00:11:10.450846,32,128,0.001,30,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_044155,COMPLETE
50,0.009818674,53:06.4,05:09.2,0 days 00:12:02.732654,32,128,0.001,5,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_045306,COMPLETE
51,0.023205822,05:09.2,16:43.3,0 days 00:11:34.158326,32,128,0.001,5,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_050509,COMPLETE
52,0.016625384,16:43.3,27:47.7,0 days 00:11:04.347844,32,128,0.001,5,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_051643,COMPLETE
53,0.021178804,27:47.7,37:57.0,0 days 00:10:09.308111,32,128,0.001,5,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_052747,COMPLETE
54,0.011163529,37:57.0,47:14.0,0 days 00:09:17.055349,32,128,0.001,30,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_053756,COMPLETE
55,0.020134992,47:14.0,56:49.5,0 days 00:09:35.459338,64,128,0.001,5,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_054714,COMPLETE
56,0.148256599,56:49.5,14:46.9,0 days 00:17:57.373193,32,128,0.0001,30,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_055649,COMPLETE
57,0.02227674,14:46.9,23:12.5,0 days 00:08:25.607414,64,128,0.001,5,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_061446,COMPLETE
58,0.678290572,23:12.5,28:47.3,0 days 00:05:34.851244,32,128,0.01,30,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_062312,COMPLETE
59,0.009575118,28:47.3,40:15.6,0 days 00:11:28.279371,32,128,0.001,20,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_062847,COMPLETE
