number,value,datetime_start,datetime_complete,duration,params_batch_size,params_hidden_dim,params_lr,params_window_size,user_attrs_group,user_attrs_model,user_attrs_timestamp,state
48,0.017346666,38:58.2,48:15.8,0 days 00:09:17.577348,32,128,0.01,20,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",gru,20250215_003858,COMPLETE
49,0.01970153,48:15.8,57:01.7,0 days 00:08:45.847951,128,128,0.001,5,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",gru,20250215_004815,COMPLETE
50,0.014995055,57:01.7,27:00.5,0 days 00:29:58.817222,16,256,0.0001,20,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",gru,20250215_005701,COMPLETE
51,0.011731705,27:00.5,40:46.1,0 days 00:13:45.602541,16,128,0.001,10,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",gru,20250215_012700,COMPLETE
52,0.00923859,40:46.1,54:01.9,0 days 00:13:15.839232,16,128,0.001,10,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",gru,20250215_014046,COMPLETE
53,0.013809405,54:01.9,10:29.6,0 days 00:16:27.638110,16,128,0.001,30,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",gru,20250215_015401,COMPLETE
54,0.025239324,10:29.6,23:29.5,0 days 00:12:59.978622,16,128,0.001,10,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",gru,20250215_021029,COMPLETE
55,0.012981091,23:29.5,33:16.7,0 days 00:09:47.157715,64,128,0.001,20,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",gru,20250215_022329,COMPLETE
56,0.021794296,33:16.7,43:02.5,0 days 00:09:45.767501,32,256,0.001,10,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",gru,20250215_023316,COMPLETE
57,0.029821599,43:02.5,56:45.6,0 days 00:13:43.123226,16,128,0.001,20,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",gru,20250215_024302,COMPLETE
58,0.045707931,56:45.6,05:59.1,0 days 00:09:13.526969,32,128,0.01,5,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",gru,20250215_025645,COMPLETE
59,0.014375714,05:59.1,21:35.0,0 days 00:15:35.896737,16,256,0.001,10,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",gru,20250215_030559,COMPLETE
