Test_File,Target,MSE,MAE,R2,SMAPE
22.06.02_mask air gasification without ac,CO2,0.0181,0.1296,0.9919,11.3541
22.06.02_mask air gasification without ac,CH4,0.0031,0.0397,0.9963,8.5588
22.06.02_mask air gasification without ac,H2,0.0054,0.0619,0.9931,9.8864
20210520_mask pellet_steam 가스화,CO,0.0051,0.0245,0.9925,11.151
20210520_mask pellet_steam 가스화,CO2,0.0732,0.0434,0.8729,5.1588
20210520_mask pellet_steam 가스화,CH4,0.0199,0.039,0.9912,13.1809
20210520_mask pellet_steam 가스화,H2,0.1449,0.0699,0.9934,13.0536
22.04.07_co2 가스화 with AC,CO,0.0161,0.0697,0.9673,10.7414
22.04.07_co2 가스화 with AC,CO2,0.2813,0.3166,0.9889,20.661
22.04.07_co2 가스화 with AC,CH4,0.0183,0.0797,0.9909,17.2149
22.04.07_co2 가스화 with AC,H2,0.0814,0.1383,0.9873,12.7706
220718_mask o2steam gasification_with ac,CO,0.0025,0.0397,0.9938,0.883
220718_mask o2steam gasification_with ac,CO2,0.0459,0.1696,0.9782,2.8277
220718_mask o2steam gasification_with ac,CH4,0.0079,0.0597,0.9957,1.9729
220718_mask o2steam gasification_with ac,H2,0.0067,0.0618,0.9991,0.4806
Average,CO,0.0077 ± 0.01,0.0310 ± 0.02,0.9883 ± 0.01,10.1155 ± 12.59
,CO2,0.0638 ± 0.08,0.0867 ± 0.07,0.9652 ± 0.07,16.0047 ± 17.16
,CH4,0.0106 ± 0.01,0.0459 ± 0.02,0.9943 ± 0.01,16.3374 ± 17.85
,H2,0.0634 ± 0.08,0.0767 ± 0.05,0.9905 ± 0.01,7.2117 ± 5.21
